clade_name,NCBI_tax_id,Soil_2_S57_trimmed_merged_profile,Soil_1_S56_trimmed_merged_profile,Sample_75_S163_trimmed_merged_profile,Sample_72_S162_trimmed_merged_profile,Sample_68_S161_trimmed_merged_profile,Sample_63_S160_trimmed_merged_profile,Sample_62_S159_trimmed_merged_profile,Sample_56_S158_trimmed_merged_profile,Sample_55_S157_trimmed_merged_profile,Sample_48_S156_trimmed_merged_profile,Sample_46_S155_trimmed_merged_profile,Sample_45_S154_trimmed_merged_profile,Sample_37_S152_trimmed_merged_profile,Sample_29_S151_trimmed_merged_profile,Sample_15_S150_trimmed_merged_profile,Sample_11_S149_trimmed_merged_profile
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces,2|201174|1760|2037|2049|1654,0,0,0,29.10299,6.35505,15.23769,6.08174,32.98515,10.27438,15.2109,6.04516,31.90647,14.75865,2.33182,10.50952,21.94976
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis|g__Clostridiales_Family_XIII_Incertae_Sedis_unclassified|s__Eubacterium_minutum,2|1239|186801|186802|543314||76124,0,0,1.03381,12.22855,31.58401,12.46726,4.45097,0.90475,8.50477,12.8237,6.06963,7.40748,4.45666,14.89221,6.35017,8.88894
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_oral_taxon_414,2|201174|1760|2037|2049|1654|712122,0,0,0,29.10299,1.65342,7.61611,2.64519,10.70346,4.81241,7.48212,1.99322,16.70712,9.43891,0.57088,3.99192,10.1266
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_cardiffensis,2|201174|1760|2037|2049|1654|181487,0,0,0,0,4.44781,6.74621,0.35621,2.70826,1.09835,0,3.48683,0.98645,1.09737,0,0.73234,4.59775
k__Bacteria|p__Proteobacteria,2|1224,31.06819,0,10.59171,0,11.12976,6.68565,12.61045,17.12047,10.128,3.9332,14.64027,20.64627,25.87374,2.27297,9.94342,8.00698
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria,2|1224|28221,12.07361,0,5.52994,0,10.43674,6.68565,4.91027,0.09857,6.17997,3.9332,14.51404,4.81978,8.93979,1.93682,7.18262,3.50607
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfobacterales,2|1224|28221|213118,0,0,5.52994,0,10.43674,6.68565,4.91027,0.09857,6.17997,3.9332,14.51404,4.81978,8.93979,1.93682,7.18262,3.50607
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfobacterales|f__Desulfobulbaceae,2|1224|28221|213118|213121,0,0,5.52994,0,10.43674,6.68565,4.91027,0.09857,6.17997,3.9332,14.51404,4.81978,8.93979,1.93682,7.18262,3.50607
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfobacterales|f__Desulfobulbaceae|g__Desulfobulbus,2|1224|28221|213118|213121|893,0,0,5.52994,0,10.43674,6.68565,4.91027,0.09857,6.17997,3.9332,14.51404,4.81978,8.93979,1.93682,7.18262,3.50607
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfobacterales|f__Desulfobulbaceae|g__Desulfobulbus|s__Desulfobulbus_oralis,2|1224|28221|213118|213121|893|1986146,0,0,5.52994,0,10.43674,6.68565,4.91027,0.09857,6.17997,3.9332,14.51404,4.81978,8.93979,1.93682,7.18262,3.50607
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae,2|1239|186801|186802|186806,0,0,4.74914,39.824,3.25732,5.64127,16.54317,1.6377,18.17545,9.14335,26.17974,0,8.84932,16.9622,12.48411,11.64591
