clade_name,NCBI_tax_id,Soil_2_S57_trimmed_merged_profile,Soil_1_S56_trimmed_merged_profile,Sample_75_S163_trimmed_merged_profile,Sample_72_S162_trimmed_merged_profile,Sample_68_S161_trimmed_merged_profile,Sample_63_S160_trimmed_merged_profile,Sample_62_S159_trimmed_merged_profile,Sample_56_S158_trimmed_merged_profile,Sample_55_S157_trimmed_merged_profile,Sample_48_S156_trimmed_merged_profile,Sample_46_S155_trimmed_merged_profile,Sample_45_S154_trimmed_merged_profile,Sample_37_S152_trimmed_merged_profile,Sample_29_S151_trimmed_merged_profile,Sample_15_S150_trimmed_merged_profile,Sample_11_S149_trimmed_merged_profile
k__Archaea|p__Thaumarchaeota|c__Nitrososphaeria,2157|651137|1643678,0.48368,0,0,0,0,0,0.06326,0,0,0,0,0,0,0,0,0
k__Archaea|p__Thaumarchaeota|c__Nitrososphaeria|o__Nitrososphaerales,2157|651137|1643678|1033996,0.48368,0,0,0,0,0,0.06326,0,0,0,0,0,0,0,0,0
k__Archaea|p__Thaumarchaeota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrososphaeraceae,2157|651137|1643678|1033996|1033997,0.48368,0,0,0,0,0,0.06326,0,0,0,0,0,0,0,0,0
k__Archaea|p__Thaumarchaeota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrososphaeraceae|g__Candidatus_Nitrosocosmicus,2157|651137|1643678|1033996|1033997|1826864,0.48368,0,0,0,0,0,0.06326,0,0,0,0,0,0,0,0,0
k__Archaea|p__Thaumarchaeota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrososphaeraceae|g__Candidatus_Nitrosocosmicus|s__Candidatus_Nitrosocosmicus_oleophilus,2157|651137|1643678|1033996|1033997|1826864|1353260,0.48368,0,0,0,0,0,0.06326,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Acidobacteria,2|57723,1.34238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Acidobacteria|c__Blastocatellia,2|57723|1562566,1.34238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Acidobacteria|c__Blastocatellia|o__Blastocatellia_unclassified,2|57723|1562566|,1.34238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Acidobacteria|c__Blastocatellia|o__Blastocatellia_unclassified|f__Blastocatellia_unclassified,2|57723|1562566||,1.34238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Acidobacteria|c__Blastocatellia|o__Blastocatellia_unclassified|f__Blastocatellia_unclassified|g__Chloracidobacterium,2|57723|1562566|||458032,1.34238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Acidobacteria|c__Blastocatellia|o__Blastocatellia_unclassified|f__Blastocatellia_unclassified|g__Chloracidobacterium|s__Chloracidobacterium_thermophilum,2|57723|1562566|||458032|458033,1.34238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinobaculum,2|201174|1760|2037|2049|76833,0,0,0,0,0,0,0,0,0,0,0,0.2842,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinobaculum|s__Actinobaculum_sp_oral_taxon_183,2|201174|1760|2037|2049|76833|712888,0,0,0,0,0,0,0,0,0,0,0,0.2842,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_georgiae,2|201174|1760|2037|2049|1654|52768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03168,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_hongkongensis,2|201174|1760|2037|2049|1654|178339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08911,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_johnsonii,2|201174|1760|2037|2049|1654|544581,0,0,0,0,0,0,0.2091,0.74423,0,0,0,1.72615,0,0,0.87938,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_massiliensis,2|201174|1760|2037|2049|1654|461393,0,0,0,0,0,0,0,0,0.22319,0.15897,0,2.72463,0.16298,0,0.24781,0.03537
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_meyeri,2|201174|1760|2037|2049|1654|52773,0,0,0,0,0,0,0,0,0.08678,0,0.4819,1.28183,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_naeslundii,2|201174|1760|2037|2049|1654|1655,0,0,0,0,0.25382,0,0,0.67537,0.00946,0.78603,0.03842,0.29366,0.12824,0,1.28206,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_odontolyticus,2|201174|1760|2037|2049|1654|1660,0,0,0,0,0,0,0.20174,0.86224,0,0,0,0,0.03238,0,0,0.98772
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_oral_taxon_180,2|201174|1760|2037|2049|1654|651609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01918,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_oral_taxon_897,2|201174|1760|2037|2049|1654|2081702,0,0,0,0,0,0,0.57884,1.89938,4.03327,0.74127,0,7.01779,1.8482,0,1.90101,3.44601
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales,2|201174|1760|85004,0,0,0,0,0,0,0,0,0,0,0,0,0.16563,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae,2|201174|1760|85004|31953,0,0,0,0,0,0,0,0,0,0,0,0,0.16563,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium,2|201174|1760|85004|31953|1678,0,0,0,0,0,0,0,0,0,0,0,0,0.16563,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_dentium,2|201174|1760|85004|31953|1678|1689,0,0,0,0,0,0,0,0,0,0,0,0,0.16563,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales,2|201174|1760|85007,0,0,0,0,0.02153,0,0.68582,0.71984,0.22345,1.91425,0,0.59675,0.43175,0,0.66535,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae,2|201174|1760|85007|1653,0,0,0,0,0.02153,0,0.68582,0.71984,0.22345,1.91425,0,0.59675,0.43175,0,0.66535,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium,2|201174|1760|85007|1653|1716,0,0,0,0,0.02153,0,0.68582,0.71984,0.22345,1.91425,0,0.59675,0.43175,0,0.66535,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_durum,2|201174|1760|85007|1653|1716|61592,0,0,0,0,0,0,0.68582,0,0,0,0,0,0.29644,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_matruchotii,2|201174|1760|85007|1653|1716|43768,0,0,0,0,0.02153,0,0,0.71984,0.22345,1.91425,0,0.59675,0.13532,0,0.66535,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales,2|201174|1760|85006,0,0,0,0,0,0,2.90224,0,0,1.00598,0,1.34358,0.86246,3.68815,0,0.73133
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae,2|201174|1760|85006|1268,0,0,0,0,0,0,2.90224,0,0,1.00598,0,1.34358,0.86246,3.68815,0,0.73133
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Rothia,2|201174|1760|85006|1268|32207,0,0,0,0,0,0,2.90224,0,0,1.00598,0,1.34358,0.86246,3.68815,0,0.73133
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Rothia|s__Rothia_aeria,2|201174|1760|85006|1268|32207|172042,0,0,0,0,0,0,2.90224,0,0,0,0,1.34358,0.86246,0,0,0.35639
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Rothia|s__Rothia_dentocariosa,2|201174|1760|85006|1268|32207|2047,0,0,0,0,0,0,0,0,0,1.00598,0,0,0,3.68815,0,0.37493
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium,2|201174|1760|85009|31957|1912216,0,0,0,0,0.42992,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium|s__Cutibacterium_acnes,2|201174|1760|85009|31957|1912216|1747,0,0,0,0,0.42992,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Olsenella|s__Olsenella_profusa,2|201174|84998|84999|1643824|133925|138595,0,0,0,0,0,0,0.03319,0.19827,0,0,0,0,0.3129,0,0,0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales,2|201174|84998|1643822,0,0,0,0,0.10002,0,0,0,0.07649,0,0,0,0.00615,0.7416,0,0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae,2|201174|84998|1643822|1643826,0,0,0,0,0.10002,0,0,0,0.07649,0,0,0,0.00615,0.7416,0,0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Slackia,2|201174|84998|1643822|1643826|84108,0,0,0,0,0.10002,0,0,0,0.07649,0,0,0,0.00615,0.7416,0,0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Slackia|s__Slackia_exigua,2|201174|84998|1643822|1643826|84108|84109,0,0,0,0,0.10002,0,0,0,0.07649,0,0,0,0.00615,0.7416,0,0
k__Bacteria|p__Actinobacteria|c__Thermoleophilia,2|201174|1497346,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Thermoleophilales,2|201174|1497346|588674,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Thermoleophilales|f__Thermoleophilaceae,2|201174|1497346|588674|320796,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Thermoleophilales|f__Thermoleophilaceae|g__Thermoleophilum,2|201174|1497346|588674|320796|192992,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Thermoleophilales|f__Thermoleophilaceae|g__Thermoleophilum|s__Thermoleophilum_album,2|201174|1497346|588674|320796|192992|29539,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes,2|976,0,0,0,0,3.69183,0,1.49066,2.54836,1.85366,0.21397,4.46846,2.02774,2.28882,0.67233,2.15092,1.01487
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_unclassified,2|976|,0,0,0,0,0.49869,0,0.89527,0.066,1.16083,0,0.36159,0.79284,1.21335,0.08039,0.53344,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_unclassified|o__Bacteroidetes_unclassified,2|976||,0,0,0,0,0.49869,0,0.89527,0.066,1.16083,0,0.36159,0.79284,1.21335,0.08039,0.53344,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_unclassified|o__Bacteroidetes_unclassified|f__Bacteroidetes_unclassified,2|976|||,0,0,0,0,0.49869,0,0.89527,0.066,1.16083,0,0.36159,0.79284,1.21335,0.08039,0.53344,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_unclassified|o__Bacteroidetes_unclassified|f__Bacteroidetes_unclassified|g__Bacteroidetes_unclassified,2|976||||,0,0,0,0,0.49869,0,0.89527,0.066,1.16083,0,0.36159,0.79284,1.21335,0.08039,0.53344,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_unclassified|o__Bacteroidetes_unclassified|f__Bacteroidetes_unclassified|g__Bacteroidetes_unclassified|s__Bacteroidetes_bacterium_oral_taxon_272,2|976|||||651591,0,0,0,0,0.29188,0,0,0,0.02895,0,0.36159,0,0.62953,0.08039,0.19164,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_unclassified|o__Bacteroidetes_unclassified|f__Bacteroidetes_unclassified|g__Bacteroidetes_unclassified|s__Bacteroidetes_oral_taxon_274,2|976|||||652708,0,0,0,0,0.20682,0,0.89527,0.066,1.13188,0,0,0.79284,0.58382,0,0.34181,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia,2|976|200643,0,0,0,0,3.19314,0,0.59539,0.85436,0.50668,0.21397,4.10688,0.71402,0.67996,0.59194,1.00368,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales,2|976|200643|171549,0,0,0,0,3.19314,0,0.59539,0.85436,0.50668,0.21397,4.10688,0.71402,0.67996,0.59194,1.00368,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae,2|976|200643|171549|171551,0,0,0,0,0,0,0,0,0.00286,0,0,0,0,0,0.00934,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas,2|976|200643|171549|171551|836,0,0,0,0,0,0,0,0,0.00286,0,0,0,0,0,0.00934,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_catoniae,2|976|200643|171549|171551|836|41976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00934,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_gingivalis,2|976|200643|171549|171551|836|837,0,0,0,0,0,0,0,0,0.00286,0,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae,2|976|200643|171549|171552,0,0,0,0,0,0,0,0,0.00866,0,0,0,0,0,0.16359,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella,2|976|200643|171549|171552|838,0,0,0,0,0,0,0,0,0.00866,0,0,0,0,0,0.16359,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_intermedia,2|976|200643|171549|171552|838|28131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00282,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_loescheii,2|976|200643|171549|171552|838|840,0,0,0,0,0,0,0,0,0.00866,0,0,0,0,0,0.16078,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae,2|976|200643|171549|2005525,0,0,0,0,3.19314,0,0.59539,0.85436,0.49516,0.21397,4.10688,0.71402,0.67996,0.59194,0.83075,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Tannerella,2|976|200643|171549|2005525|195950,0,0,0,0,3.19314,0,0.59539,0.85436,0.49516,0.21397,4.10688,0.71402,0.67996,0.59194,0.83075,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Tannerella|s__Tannerella_forsythia,2|976|200643|171549|2005525|195950|28112,0,0,0,0,3.19314,0,0.59539,0.54857,0.48128,0.21397,4.10688,0.71402,0.62178,0.59194,0.8258,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Tannerella|s__Tannerella_sp_oral_taxon_HOT_286,2|976|200643|171549|2005525|195950|712710,0,0,0,0,0,0,0,0.30579,0.01389,0,0,0,0.05818,0,0.00495,0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia,2|976|117743,0,0,0,0,0,0,0,1.628,0.18615,0,0,0.52089,0.39551,0,0.6138,1.01487
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales,2|976|117743|200644,0,0,0,0,0,0,0,1.628,0.18615,0,0,0.52089,0.39551,0,0.6138,1.01487
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae,2|976|117743|200644|49546,0,0,0,0,0,0,0,1.628,0.18615,0,0,0.52089,0.39551,0,0.6138,1.01487
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Capnocytophaga,2|976|117743|200644|49546|1016,0,0,0,0,0,0,0,1.628,0.18615,0,0,0.52089,0.39551,0,0.6138,1.01487
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Capnocytophaga|s__Capnocytophaga_gingivalis,2|976|117743|200644|49546|1016|1017,0,0,0,0,0,0,0,0.24999,0.07366,0,0,0.33876,0.20438,0,0.14528,1.01487
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Capnocytophaga|s__Capnocytophaga_granulosa,2|976|117743|200644|49546|1016|45242,0,0,0,0,0,0,0,0,0,0,0,0.07397,0,0,0.04402,0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Capnocytophaga|s__Capnocytophaga_leadbetteri,2|976|117743|200644|49546|1016|327575,0,0,0,0,0,0,0,0,0.01568,0,0,0,0.05886,0,0.145,0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Capnocytophaga|s__Capnocytophaga_sputigena,2|976|117743|200644|49546|1016|1019,0,0,0,0,0,0,0,1.37802,0.0968,0,0,0.10816,0.13227,0,0.27949,0
k__Bacteria|p__Chloroflexi|c__Chloroflexi_unclassified,2|200795|,1.2682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Chloroflexi|c__Chloroflexi_unclassified|o__Chloroflexi_unclassified,2|200795||,1.2682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Chloroflexi|c__Chloroflexi_unclassified|o__Chloroflexi_unclassified|f__Chloroflexi_unclassified,2|200795|||,1.2682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Chloroflexi|c__Chloroflexi_unclassified|o__Chloroflexi_unclassified|f__Chloroflexi_unclassified|g__Chloroflexi_unclassified,2|200795||||,1.2682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Chloroflexi|c__Chloroflexi_unclassified|o__Chloroflexi_unclassified|f__Chloroflexi_unclassified|g__Chloroflexi_unclassified|s__Chloroflexi_bacterium_GWB2_54_36,2|200795|||||1797613,1.2682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae,2|1239|91061|1385|186817,14.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus,2|1239|91061|1385|186817|1386,14.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_butanolivorans,2|1239|91061|1385|186817|1386|421767,4.75222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_simplex,2|1239|91061|1385|186817|1386|1478,9.93778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified|g__Gemella|s__Gemella_morbillorum,2|1239|91061|1385||1378|29391,0,0,0,0,0,0,0.11391,0,0.01551,0,0,0.94785,0.05338,0,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Thermoactinomycetaceae,2|1239|91061|1385|186824,14.9812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Thermoactinomycetaceae|g__Planifilum,2|1239|91061|1385|186824|332100,14.9812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Thermoactinomycetaceae|g__Planifilum|s__Planifilum_fulgidum,2|1239|91061|1385|186824|332100|201973,14.9812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales,2|1239|91061|186826,0,0,0,0,0.03814,0,12.09019,13.0532,2.10351,1.12332,0.13085,3.61429,4.04705,0,1.39988,14.26809
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae,2|1239|91061|186826|186827,0,0,0,0,0,0,0.83485,0.67208,0.06035,0,0,0.40075,0.71733,0,0.15159,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae|g__Abiotrophia,2|1239|91061|186826|186827|46123,0,0,0,0,0,0,0.83485,0.67208,0.06035,0,0,0.40075,0.71733,0,0.15159,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae|g__Abiotrophia|s__Abiotrophia_defectiva,2|1239|91061|186826|186827|46123|46125,0,0,0,0,0,0,0.23854,0,0,0,0,0,0.09532,0,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae|g__Abiotrophia|s__Abiotrophia_sp_HMSC24B09,2|1239|91061|186826|186827|46123|1581061,0,0,0,0,0,0,0.59631,0.67208,0.06035,0,0,0.40075,0.62201,0,0.15159,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae,2|1239|91061|186826|1300,0,0,0,0,0.03814,0,11.25533,12.38112,2.04316,1.12332,0.13085,3.21354,3.32972,0,1.24829,14.26809
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus,2|1239|91061|186826|1300|1301,0,0,0,0,0.03814,0,11.25533,12.38112,2.04316,1.12332,0.13085,3.21354,3.32972,0,1.24829,14.26809
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_anginosus_group,2|1239|91061|186826|1300|1301|671232,0,0,0,0,0,0,0,0,0.10679,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_cristatus,2|1239|91061|186826|1300|1301|45634,0,0,0,0,0,0,0,0.19527,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_gordonii,2|1239|91061|186826|1300|1301|1302,0,0,0,0,0,0,0,1.62969,0,0,0,1.15691,0,0,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_milleri,2|1239|91061|186826|1300|1301|33040,0,0,0,0,0.03814,0,0,0,0,0,0.13085,0,0.25467,0,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_oralis,2|1239|91061|186826|1300|1301|1303,0,0,0,0,0,0,0.16207,0.74453,0,0,0,0.33384,0.02204,0,0.3232,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_sanguinis,2|1239|91061|186826|1300|1301|1305,0,0,0,0,0,0,11.00041,9.52292,1.49635,1.12332,0,1.609,3.05301,0,0.79044,13.7516
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_sinensis,2|1239|91061|186826|1300|1301|176090,0,0,0,0,0,0,0.09286,0.28872,0.44002,0,0,0.11379,0,0,0.13465,0.51649
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_botulinum,2|1239|186801|186802|31979|1485|1491,0,0,0,0,0,0,0,0,0.08208,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis|g__Clostridiales_Family_XIII_Incertae_Sedis_unclassified|s__Eubacterium_brachy,2|1239|186801|186802|543314||35517,0,0,0,0,0.35715,0,0,0,0.07816,0,0.1094,0.03236,0,0,0.00492,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis|g__Clostridiales_Family_XIII_Incertae_Sedis_unclassified|s__Eubacterium_nodatum,2|1239|186801|186802|543314||35518,0,0,0,0,1.18922,0,0,0,1.96899,0.519,0.39551,0.86697,0.05646,0,0.06402,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis|g__Mogibacterium,2|1239|186801|186802|543314|86331,0,0,0,0,0,0,0.25614,0,0.05816,0,0,0,0,0,0,0.11345
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis|g__Mogibacterium|s__Mogibacterium_timidum,2|1239|186801|186802|543314|86331|35519,0,0,0,0,0,0,0.25614,0,0.05816,0,0,0,0,0,0,0.11345
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae,2|1239|186801|186802|186803,0,0,0,0,0,0,0,0,0.28561,0,0,1.49127,0.0183,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Johnsonella,2|1239|186801|186802|186803|43994,0,0,0,0,0,0,0,0,0.28561,0,0,1.49127,0.0183,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Johnsonella|s__Johnsonella_ignava,2|1239|186801|186802|186803|43994|43995,0,0,0,0,0,0,0,0,0.28561,0,0,1.49127,0.0183,0,0,0
